exp,model,train_rmse,val_rmse
1,linear,0.135066,0.189113
2,linear,0.135066,0.189113
3,ridge a=10,0.135083,0.189006
4,rf n=100 d=10,0.062773,0.149873
5,gb n=100 d=3 lr=.1,0.084046,0.131598
6,hgb d=3 lr=.1,0.097253,0.138515
7,mlp 128-64,0.270578,0.985192
8,et n=100 d=10,0.045321,0.141830
9,gb n=100 d=3 lr=.1,0.084046,0.131598
10,gb n=200 d=3 lr=.1,0.066175,0.129069
11,gb n=200 d=3 lr=.08,0.073842,0.129169
12,gb n=300 d=3 lr=.1,0.054142,0.128339
13,gb n=300 d=4 lr=.1,0.029578,0.134460
14,vote gb+rf+et,0.048895,0.134791
15,gb n=300 d=3 lr=.1 sub=.8,0.049917,0.130497
16,gb n=300 d=3 lr=.12,0.047791,0.131912
17,gb n=400 d=3 lr=.1,0.044794,0.128370
18,gb n=300 d=3 lr=.1 ms=5,0.056490,0.127470
19,gb n=300 d=3 lr=.1 ms=10,0.057296,0.129590
20,gb n=400 d=3 lr=.1 ms=5,0.047154,0.127999
21,gb n=300 d=3 lr=.1 ms=5 ml=2,0.057143,0.140518
